_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,__mag_comp,mavar__deg,__lat__deg,__lon__deg,__altftmsl,__altftagl,___onrunwy,__alt__ind,__latorign,__lonorign,NAV_1,_freqNAV_1,_stbyNAV_1,_typeNAV_2,_freqNAV_2,_stbyNAV_2,_typeNAV_1,n-typNAV_1,to-frNAV_1,m-crsNAV_1,r-brgNAV_1,dme-dNAV_1,h-defNAV_1,v-defNAV_2,n-typNAV_2,to-frNAV_2,m-crsNAV_2,r-brgNAV_2,dme-dNAV_2,h-defNAV_2,v-defADF_1,_freqADF_1,_cardADF_1,r-brgADF_1,n-typADF_2,_freqADF_2,_cardADF_2,r-brgADF_2,n-typ__DME,nav01__DME,_mode__DME,found__DME,_dist__DME,speed__DME,_time__DME,n-typDME-3_freq,
1314.86536,1494.36035,1492.85779,0.00000,13.57013,14.57013,2.69068,24.63295,-1.99844,47.30231,6.09830,5965.11182,4693.65869,0.00000,5965.11475,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.09357,-5.78639,0.00000,-2.50000,0.00000,12.00000,0.00000,356.48932,89.46247,30.77110,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1315.86987,1495.37012,1493.86755,0.00000,13.57041,14.57041,2.69096,24.44760,-1.99853,47.30285,6.09868,5965.10645,4683.74854,0.00000,5965.10693,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.10784,-5.44700,0.00000,-2.50000,0.00000,12.00000,0.00000,356.47089,89.80464,30.73583,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1316.87244,1496.37280,1494.87012,0.00000,13.57069,14.57069,2.69124,24.26976,-1.99862,47.30338,6.09905,5965.10107,4673.94775,0.00000,5965.10938,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.10718,-5.23236,0.00000,-2.50000,0.00000,12.00000,0.00000,356.45581,89.92849,30.70080,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1317.86658,1497.37708,1495.87451,0.00000,13.57096,14.57096,2.69152,24.09744,-1.99871,47.30391,6.09941,5965.09619,4664.11865,0.00000,5965.10498,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.10122,-5.07003,0.00000,-2.50000,0.00000,12.00000,0.00000,356.44067,89.97387,30.66571,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1318.87305,1498.39050,1496.88794,0.00000,13.57125,14.57125,2.69180,23.92921,-1.99880,47.30445,6.09978,5965.09082,4654.17920,0.00000,5965.10156,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.09335,-4.93021,0.00000,-2.50000,0.00000,12.00000,0.00000,356.42563,89.99055,30.63028,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1319.87830,1499.40295,1497.90039,0.00000,13.57153,14.57153,2.69208,23.76651,-1.99889,47.30498,6.10015,5965.08545,4644.22900,0.00000,5965.09473,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.08491,-4.80244,0.00000,-2.50000,0.00000,12.00000,0.00000,356.41074,89.99657,30.59488,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1320.87280,1500.39746,1498.89490,0.00000,13.57180,14.57180,2.69235,23.61166,-1.99898,47.30551,6.10051,5965.08057,4630.25684,0.00000,5965.08008,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.07652,-4.68367,0.00000,-2.50000,0.00000,12.00000,0.00000,356.39532,89.99866,30.56010,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1321.88086,1501.40564,1499.90308,0.00000,13.57208,14.57208,2.69263,23.45960,-1.99907,47.30605,6.10087,5965.07617,4615.18750,0.00000,5965.08203,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.06807,-4.56804,0.00000,-2.50000,0.00000,12.00000,0.00000,356.38092,89.99928,30.52483,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1322.87903,1502.40381,1500.90125,0.00000,13.57236,14.57236,2.69291,23.31369,-1.99916,47.30658,6.10123,5965.07275,4616.27051,0.00000,5965.07861,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.05983,-4.45740,0.00000,-2.50000,0.00000,12.00000,0.00000,356.36630,89.99933,30.48992,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1323.87341,1503.39807,1501.89551,0.00000,13.57264,14.57264,2.69319,23.17271,-1.99925,47.30710,6.10158,5965.06934,4641.01904,0.00000,5965.07520,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.05176,-4.35057,0.00000,-2.50000,0.00000,12.00000,0.00000,356.35129,89.99935,30.45511,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
